Jogadores,Nacionalidade,Posição,Idade,Desarmes,Desarmes que Geram Posse,Desarmes no Terço Defensivo,Desarmes no Terço Central,Desarmes no Terço Ofensivo,Desarmes de Dribladores,Tentativas de Desarme de Drible,Desarmes Perdidos,Bloqueios,Chutes Bloqueados,Passes Bloqueados,Interceptação,Afastamentos,Erros que Geram Chute,Temporada
Federico Valverde,Uruguai,"Meio Campista, Defensor",26,75,53,34,33,8,43,71,28,54,14,40,88,82,1,2025
Kylian Mbappé,França,Atacante,25,15,11,2,7,6,6,12,6,3,0,3,3,2,1,2025
Jude Bellingham,Inglaterra,Meio Campista,21,89,60,28,38,23,39,68,29,50,3,47,44,37,1,2025
Aurélien Tchouaméni,França,"Meio Campista, Defensor",24,70,47,36,27,7,29,50,21,50,35,15,74,109,1,2025
Thibaut Courtois,Bélgica,Goleiro,32,0,0,0,0,0,0,0,0,0,0,0,1,20,1,2025
Antonio Rüdiger,Alemanha,Defensor,31,33,25,26,6,1,21,28,7,30,17,13,17,152,1,2025
Vinicius Júnior,Brasil,Atacante,24,35,23,11,9,15,8,28,20,14,0,14,9,1,2,2025
Rodrygo,Brasil,"Meio Campista, Atacante",23,39,30,21,11,7,13,38,25,30,2,28,21,16,0,2025
Lucas Vázquez,Espanha,Defensor,33,71,56,37,24,10,31,58,27,28,6,22,31,48,2,2025
Raúl Asencio,Espanha,Defensor,21,34,39,29,5,0,15,23,8,18,12,6,23,112,2,2025
Fran Garcia,Espanha,Defensor,24,59,45,33,19,7,32,56,24,29,5,24,39,75,1,2025
Luka Modrić,Cróacia,Meio Campista,38,42,28,20,19,3,18,45,27,19,6,13,44,25,0,2025
Ferland Mendy,França,Defensor,29,25,21,13,8,4,15,18,3,18,7,11,13,18,1,2025
Brahim Díaz,Marrocos,"Atacante, Meio Campista",24,33,27,13,15,5,11,27,16,17,1,16,11,3,1,2025
Eduardo Camavinga,França,Meio Campista,21,68,57,40,21,7,29,48,19,33,10,23,30,41,0,2025
Dani Ceballos,Espanha,Meio Campista,27,57,33,26,23,8,29,56,27,21,5,16,18,18,2,2025
Arda Güler,Turquia,"Meio Campista, Atacante",19,32,23,11,9,12,10,28,18,20,0,20,12,9,0,2025
Andriy Lunin,Ucrânia,Goleiro,25,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2025
Éder Militão,Brasil,Defensor,26,22,21,16,6,0,7,12,5,18,11,7,17,40,0,2025
Dani Carvajal,Espanha,Defensor,32,19,15,10,4,5,11,15,4,10,5,5,15,21,1,2025
Endrick,Brasil,Atacante,18,3,2,2,0,1,2,5,3,2,0,2,6,1,0,2025
David Alaba,Áustria,Defensor,32,3,2,3,0,0,1,2,1,8,6,2,8,11,0,2025
Jacobo Ramón,Espanha,Defensor,19,7,4,4,3,0,2,2,0,2,0,2,4,9,2,2025
Jesús Vallejo,Espanha,Defensor,27,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2025
Diego Aguado,Espanha,Defensor,17,,0,,,,,,,,,,1,,,2025
Fran,Espanha,Goleiro,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2025
Lorenzo Aguado,Espanha,Defensor,21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2025
Gonzalo García,Espanha,Meio Campista,20,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2025
Chema,Espanha,Meio Campista,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025
Víctor Muñoz,Espanha,"Atacante, Defensor",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
Daniel Yáñez,Espanha,Meio Campista,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
Federico Valverde,Uruguai,"Meio Campista, Atacante",25,68,51,34,19,15,34,62,28,52,6,46,60,58,0,2024
Antonio Rüdiger,Alemanha,Defensor,30,37,21,27,6,4,23,29,6,48,39,9,15,124,0,2024
Rodrygo,Brasil,Atacante,22,24,20,5,11,8,7,31,24,27,1,26,10,8,0,2024
