Jogador,Nacionalidade,Posição,Idade,Passes Certos,Passes Tentados,Distância Total de Passes,Distância Total de Passes Progressivos,Passes Curtos Certos,Passes Curtos Tentados,Passes Médios Certos,Passes Médios Tentados,Passes Longos Certos,Passes Longos Tentados,Passes Chaves,Passes ao Terço Final,Passes p/ Grande Área,Cruzamentos p/ Grande Área,Passes Progressivos,Temporada
Federico Valverde,Uruguai,"Meio Campista, Defensor",26,2748,3065,47606,13965,1344,1428,1054,1130,278,371,57,316,49,4,304,2025
Kylian Mbappé,França,Atacante,25,1226,1497,17497,3071,740,846,330,392,77,97,66,92,64,5,175,2025
Jude Bellingham,Inglaterra,Meio Campista,21,1882,2163,30100,6415,1008,1102,664,745,159,205,65,183,41,0,277,2025
Aurélien Tchouaméni,França,"Meio Campista, Defensor",24,2376,2565,41740,13343,995,1044,1185,1249,168,222,11,209,13,1,202,2025
Thibaut Courtois,Bélgica,Goleiro,32,1177,1450,27320,17207,232,233,733,738,209,475,1,6,0,0,0,2025
Antonio Rüdiger,Alemanha,Defensor,31,2438,2646,46147,15230,901,929,1264,1327,244,343,10,168,11,1,129,2025
Vinicius Júnior,Brasil,Atacante,24,945,1297,14657,3535,535,652,289,378,80,134,81,69,52,11,113,2025
Rodrygo,Brasil,"Meio Campista, Atacante",23,1343,1568,17343,4047,901,951,322,379,46,126,65,90,35,3,146,2025
Lucas Vázquez,Espanha,Defensor,33,1774,2047,26897,6522,964,1038,668,761,85,142,41,79,38,5,124,2025
Raúl Asencio,Espanha,Defensor,21,1299,1389,22000,7114,587,612,615,636,75,110,7,56,3,0,34,2025
Fran Garcia,Espanha,Defensor,24,1478,1711,20931,5633,910,971,441,515,68,120,27,95,25,11,132,2025
Luka Modrić,Cróacia,Meio Campista,38,2322,2640,39657,12638,1127,1199,879,966,240,364,83,292,44,4,271,2025
Ferland Mendy,França,Defensor,29,1111,1186,15693,4117,687,708,333,361,52,62,8,70,4,0,59,2025
Brahim Díaz,Marrocos,"Atacante, Meio Campista",24,791,917,10041,2621,547,596,188,223,19,32,29,73,26,0,96,2025
Eduardo Camavinga,França,Meio Campista,21,971,1081,16462,4311,454,487,412,440,79,103,15,93,9,0,86,2025
Dani Ceballos,Espanha,Meio Campista,27,1606,1701,25928,7420,792,810,669,697,100,126,28,181,15,0,185,2025
Arda Güler,Turquia,"Meio Campista, Atacante",19,855,997,13883,3637,462,492,298,339,76,127,46,90,34,6,108,2025
Andriy Lunin,Ucrânia,Goleiro,25,206,236,4935,3172,52,53,103,103,49,76,1,1,0,0,0,2025
Éder Militão,Brasil,Defensor,26,806,899,16811,5915,234,249,472,498,96,142,8,74,4,0,58,2025
Dani Carvajal,Espanha,Defensor,32,511,603,8565,2014,237,254,236,273,32,46,8,28,8,1,39,2025
Endrick,Brasil,Atacante,18,86,108,1351,211,47,58,23,29,9,10,6,3,3,0,11,2025
David Alaba,Áustria,Defensor,32,310,344,5049,2042,148,151,136,141,18,41,2,18,1,0,12,2025
Jacobo Ramón,Espanha,Defensor,19,96,102,1535,574,45,48,45,46,4,4,1,4,0,0,1,2025
Jesús Vallejo,Espanha,Defensor,27,60,67,1094,392,19,19,37,41,3,6,2,5,1,0,5,2025
Diego Aguado,Espanha,Defensor,17,,,,,,,,,,,,,,,,2025
Fran,Espanha,Goleiro,19,19,20,386,262,7,7,8,8,4,5,0,0,0,0,0,2025
Lorenzo Aguado,Espanha,Defensor,21,1,1,34,0,0,0,0,0,1,1,0,0,0,0,0,2025
Gonzalo García,Espanha,Meio Campista,20,19,20,245,20,12,13,5,5,1,1,1,0,0,0,0,2025
Chema,Espanha,Meio Campista,19,1,1,16,0,0,0,1,1,0,0,0,0,0,0,0,2025
Víctor Muñoz,Espanha,"Atacante, Defensor",21,11,12,150,21,9,9,1,1,1,1,0,0,1,1,0,2025
Daniel Yáñez,Espanha,Meio Campista,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,2025
Federico Valverde,Uruguai,"Meio Campista, Atacante",25,2453,2739,37667,10059,1427,1506,789,869,168,243,56,284,51,4,297,2024
Antonio Rüdiger,Alemanha,Defensor,30,2221,2471,40913,15230,862,903,1157,1219,184,308,10,121,13,2,115,2024
Rodrygo,Brasil,Atacante,22,1221,1379,14362,2736,875,931,236,279,26,46,64,66,54,6,118,2024
Jude Bellingham,Inglaterra,"Meio Campista, Atacante",20,1880,2130,27112,5648,1180,1278,542,600,101,124,72,190,55,5,265,2024
Dani Carvajal,Espanha,Defensor,31,1679,1975,26894,6324,879,971,663,755,107,156,33,70,33,6,107,2024
Toni Kroos,Alemanha,Meio Campista,33,3145,3436,58094,21495,1478,1523,1152,1223,457,599,86,439,31,6,368,2024
Nacho,Espanha,Defensor,33,1808,1942,29703,11613,870,900,829,869,90,136,7,66,4,1,75,2024
Vinicius Júnior,Brasil,Atacante,23,724,992,10328,1933,460,540,164,238,55,100,49,46,30,3,82,2024
Andriy Lunin,Ucrânia,Goleiro,24,779,924,17765,11170,187,189,431,436,155,289,1,7,0,0,0,2024
Ferland Mendy,França,Defensor,28,1620,1735,22121,6482,1013,1045,489,535,57,71,13,98,13,2,120,2024
Eduardo Camavinga,França,Meio Campista,20,1665,1836,26950,6725,818,864,700,749,104,138,29,140,20,4,148,2024
Aurélien Tchouaméni,França,"Meio Campista, Defensor",23,1761,1937,29297,9546,847,894,787,851,103,142,15,197,15,5,146,2024
Luka Modrić,Cróacia,Meio Campista,37,1825,2097,29451,9154,990,1046,574,643,186,285,72,212,55,5,243,2024
Joselu,Espanha,Atacante,33,321,442,3937,572,208,274,74,103,9,12,16,19,4,0,22,2024
Brahim Díaz,Marrocos,"Meio Campista, Atacante",23,740,888,9395,2209,509,553,159,208,28,50,39,47,44,9,93,2024
Lucas Vázquez,Espanha,Defensor,32,1210,1412,17445,4254,717,777,413,466,46,98,40,39,38,11,72,2024
Kepa Arrizabalaga,Espanha,Goleiro,28,514,598,11971,7857,120,121,294,296,100,180,0,2,0,0,0,2024
Fran Garcia,Espanha,Defensor,23,1006,1181,14461,4026,620,660,333,387,33,73,19,51,17,8,70,2024
David Alaba,Áustria,Defensor,31,1000,1116,15984,5921,547,565,374,415,59,105,12,67,8,2,57,2024
Dani Ceballos,Espanha,Meio Campista,26,613,685,8926,2127,378,400,173,193,38,51,15,62,9,1,57,2024
