Data,Competição,Partida,Local,Marcador,Adversário,Titular,Parte do Corpo,Distância da Finalização,Minuto,Placar Antes do Gol,Goleiro,Assistência,Início de Jogada p/ Gol,Tipo,Pré-Ação de Gol,Tipo,Observações
2024-08-18,La Liga,Rodada 1,Fora,Vedat Muriqi,Mallorca,Sim,Cabeça,9,53,0-1,Thibaut Courtois,Dani Rodríguez,Dani Rodríguez,Pass (Dead),Dani Rodríguez,Pass (Live),
2024-08-29,La Liga,Rodada 3,Fora,Alberto Moleiro,Las Palmas,Sim,Perna Esquerda,12,5,0-0,Thibaut Courtois,Oliver McBurnie,Alberto Moleiro,Take-On,Oliver McBurnie,Pass (Live),
2024-09-17,Champions League,Fase de Liga,Casa,Deniz Undav,Stuttgart,Sim,Cabeça,4,68,0-1,Thibaut Courtois,Jamie Leweling,Jamie Leweling,Pass (Live),Jamie Leweling,Chute,
2024-09-21,La Liga,Rodada 6,Casa,Thibaut Courtois (OG),Espanyol,Sim,,,54,,,,,,,,Own Goal
2024-09-24,La Liga,Rodada 7,Casa,Carlos Benavídez,Alavés,Sim/Capitão,Perna Esquerda,23,85,0-3,Thibaut Courtois,Ander Guevara,Ander Guevara,Pass (Live),Carlos Benavídez,Pass (Live),
2024-09-24,La Liga,Rodada 7,Casa,Kiké,Alavés,Não,Perna Esquerda,11,86,1-3,Thibaut Courtois,Carlos Benavídez,Carlos Benavídez,Pass (Live),Ander Guevara,Pass (Live),
2024-09-29,La Liga,Rodada 8,Fora,Ángel Correa,Atlético Madrid,Não,Perna Direita,8,90+5,0-1,Thibaut Courtois,Javi Galán,Javi Galán,Pass (Live),Koke,Pass (Live),
2024-10-02,Champions League,Fase de Liga,Fora,Jonathan David,Lille,Sim,Perna Direita,13,45+2,0-0,Andriy Lunin,,,Fouled,Edon Zhegrova,Chute,
2024-10-19,La Liga,Rodada 10,Fora,Williot Swedberg,Celta Vigo,Sim,Perna Direita,14,51,0-1,Thibaut Courtois,Óscar Mingueza,Óscar Mingueza,Pass (Live),Jonathan Bamba,Pass (Live),
2024-10-22,Champions League,Fase de Liga,Casa,Donyell Malen,Borussia Dortmund,Sim,Perna Direita,11,30,0-0,Thibaut Courtois,Serhou Guirassy,Serhou Guirassy,Pass (Live),Julian Brandt,Tackle,
