Jogador,Nacionalidade,Posição,Idade,Cartões Amarelos,Cartões Vermelhos,2° Cartões Amarelos,Faltas Cometidas,Faltas Sofridas,Impedimentos,Cruzamentos,Interceptações,Desarmes Ganhos,Pênaltis Convertidos,Pênaltis Cometidos,Gols Contras,Bolas Perdidas Recuperadas,Duelos Aéreos Ganhos,Duelos Aéreos Perdidos,Temporada
Federico Valverde,Uruguai,"Meio Campista, Defensor",26,5,0,0,26,21,1,46,88,53,0,0,0,223,39,22,2025
Kylian Mbappé,França,Atacante,25,3,1,0,35,61,52,57,3,11,4,0,0,53,7,10,2025
Jude Bellingham,Inglaterra,Meio Campista,21,11,2,0,60,113,13,31,44,60,1,0,0,156,39,42,2025
Aurélien Tchouaméni,França,"Meio Campista, Defensor",24,10,0,0,37,40,0,17,74,47,0,2,0,180,77,35,2025
Thibaut Courtois,Bélgica,Goleiro,32,1,0,0,0,3,0,0,1,0,0,0,1,52,13,0,2025
Antonio Rüdiger,Alemanha,Defensor,31,7,1,0,39,19,3,5,17,25,2,1,0,145,51,37,2025
Vinicius Júnior,Brasil,Atacante,24,15,1,0,58,108,18,112,9,23,3,0,0,113,2,9,2025
Rodrygo,Brasil,"Meio Campista, Atacante",23,0,0,0,20,58,2,155,21,30,1,0,0,96,12,18,2025
Lucas Vázquez,Espanha,Defensor,33,9,1,0,51,44,5,98,31,56,1,0,0,103,7,17,2025
Raúl Asencio,Espanha,Defensor,21,8,0,0,22,30,1,1,23,39,0,1,0,109,35,18,2025
Fran Garcia,Espanha,Defensor,24,0,0,0,16,25,4,91,39,45,0,0,0,119,19,23,2025
Luka Modrić,Cróacia,Meio Campista,38,11,0,0,35,30,2,173,44,28,0,0,0,140,7,16,2025
Ferland Mendy,França,Defensor,29,2,1,0,17,17,0,7,13,21,0,1,0,63,6,6,2025
Brahim Díaz,Marrocos,"Atacante, Meio Campista",24,1,0,0,25,51,5,19,11,27,0,0,0,82,4,16,2025
Eduardo Camavinga,França,Meio Campista,21,9,1,1,46,49,1,4,30,57,0,2,0,117,27,20,2025
Dani Ceballos,Espanha,Meio Campista,27,5,0,0,22,49,0,21,18,33,0,1,0,120,2,1,2025
Arda Güler,Turquia,"Meio Campista, Atacante",19,1,0,0,19,44,6,87,12,23,1,0,0,68,8,13,2025
Andriy Lunin,Ucrânia,Goleiro,25,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,2025
Éder Militão,Brasil,Defensor,26,4,0,0,22,11,0,2,17,21,0,0,0,57,27,18,2025
Dani Carvajal,Espanha,Defensor,32,1,0,0,8,10,0,25,15,15,0,0,0,30,9,8,2025
Endrick,Brasil,Atacante,18,4,0,0,19,18,5,2,6,2,1,0,0,14,6,6,2025
David Alaba,Áustria,Defensor,32,2,0,0,6,1,1,7,8,2,0,0,1,11,5,2,2025
Jacobo Ramón,Espanha,Defensor,19,2,0,0,5,2,0,0,4,4,0,0,0,6,9,7,2025
Jesús Vallejo,Espanha,Defensor,27,0,0,0,0,0,0,0,2,0,0,0,0,8,3,3,2025
Diego Aguado,Espanha,Defensor,17,0,0,0,3,0,0,0,1,0,,,0,,,,2025
Fran,Espanha,Goleiro,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025
Lorenzo Aguado,Espanha,Defensor,21,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2025
Gonzalo García,Espanha,Meio Campista,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2025
Chema,Espanha,Meio Campista,19,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2025
Víctor Muñoz,Espanha,"Atacante, Defensor",21,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2025
Daniel Yáñez,Espanha,Meio Campista,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025
Federico Valverde,Uruguai,"Meio Campista, Atacante",25,2,0,0,34,19,1,43,60,51,0,0,0,215,33,26,2024
Antonio Rüdiger,Alemanha,Defensor,30,8,0,0,35,15,3,8,15,21,0,0,1,165,65,31,2024
Rodrygo,Brasil,Atacante,22,2,0,0,15,57,15,46,10,20,2,0,0,88,8,29,2024
Jude Bellingham,Inglaterra,"Meio Campista, Atacante",20,9,1,0,46,102,7,36,30,50,0,0,0,151,35,36,2024
Dani Carvajal,Espanha,Defensor,31,9,1,1,44,31,3,64,32,54,0,0,0,143,37,29,2024
Toni Kroos,Alemanha,Meio Campista,33,5,0,0,23,50,4,174,31,49,0,0,0,205,9,5,2024
Nacho,Espanha,Defensor,33,5,2,0,27,23,2,3,30,19,0,1,1,125,38,35,2024
Vinicius Júnior,Brasil,Atacante,23,11,0,0,36,75,17,94,3,19,0,0,0,71,4,10,2024
Andriy Lunin,Ucrânia,Goleiro,24,2,0,0,0,5,0,0,0,0,0,0,0,25,11,0,2024
Ferland Mendy,França,Defensor,28,6,0,0,26,28,0,10,21,20,0,0,0,132,13,10,2024
Eduardo Camavinga,França,Meio Campista,20,13,0,0,75,96,1,7,40,62,0,1,0,193,30,22,2024
Aurélien Tchouaméni,França,"Meio Campista, Defensor",23,11,0,0,27,25,0,28,43,30,0,0,0,120,65,28,2024
Luka Modrić,Cróacia,Meio Campista,37,2,0,0,29,27,2,135,27,21,0,0,0,118,13,10,2024
Joselu,Espanha,Atacante,33,1,0,0,14,19,20,8,7,3,0,0,0,41,58,40,2024
