Jogador,Nacionalidade,Posição,Idade,Gols,Total de Chutes,Chutes no Alvo,Distância Média dos Chutes,,Chutes em Faltas,Chutes em Pênaltis Convertidos,Chutes em Pênaltis Tentados,Temporada
Federico Valverde,Uruguai,"Meio Campista, Defensor",26,9,84,29,26,,4,0,0,2025
Kylian Mbappé,França,Atacante,25,42,225,111,"17,1",,3,7,10,2025
Jude Bellingham,Inglaterra,Meio Campista,21,14,98,39,"14,6",,0,1,2,2025
Aurélien Tchouaméni,França,"Meio Campista, Defensor",24,2,37,11,"18,8",,0,0,0,2025
Thibaut Courtois,Bélgica,Goleiro,32,0,0,0,,,0,0,0,2025
Antonio Rüdiger,Alemanha,Defensor,31,3,38,8,"16,7",,0,0,0,2025
Vinicius Júnior,Brasil,Atacante,24,20,148,57,"17,4",4,0,3,5,2025
Rodrygo,Brasil,"Meio Campista, Atacante",23,13,96,37,"16,3",3,3,0,0,2025
Lucas Vázquez,Espanha,Defensor,33,2,26,8,"18,0",0,1,0,0,2025
Raúl Asencio,Espanha,Defensor,21,0,7,1,"18,0",0,0,0,0,2025
Fran Garcia,Espanha,Defensor,24,0,15,3,"19,4",4,0,0,0,2025
Luka Modrić,Cróacia,Meio Campista,38,4,31,12,"23,1",1,2,0,0,2025
Ferland Mendy,França,Defensor,29,0,2,1,"16,1",1,0,0,0,2025
Brahim Díaz,Marrocos,"Atacante, Meio Campista",24,6,51,29,"13,1",1,0,0,0,2025
Eduardo Camavinga,França,Meio Campista,21,2,22,6,"19,4",4,0,0,0,2025
Dani Ceballos,Espanha,Meio Campista,27,0,10,2,"22,7",7,0,0,0,2025
Arda Güler,Turquia,"Meio Campista, Atacante",19,5,55,21,"21,0",0,3,0,0,2025
Andriy Lunin,Ucrânia,Goleiro,25,0,0,0,,,0,0,0,2025
Éder Militão,Brasil,Defensor,26,1,14,3,"17,1",1,0,0,0,2025
Dani Carvajal,Espanha,Defensor,32,1,4,1,"5,3",3,0,0,0,2025
Endrick,Brasil,Atacante,18,7,51,20,"17,6",6,0,0,0,2025
David Alaba,Áustria,Defensor,32,0,0,0,,,0,0,0,2025
Jacobo Ramón,Espanha,Defensor,19,1,3,1,"9,2",2,0,0,0,2025
Jesús Vallejo,Espanha,Defensor,27,0,0,0,,,0,0,0,2025
Diego Aguado,Espanha,Defensor,17,0,0,0,,,,0,0,2025
Fran,Espanha,Goleiro,19,0,0,0,,,0,0,0,2025
Lorenzo Aguado,Espanha,Defensor,21,0,1,0,,,0,0,0,2025
Gonzalo García,Espanha,Meio Campista,20,1,2,1,"4,8",8,0,0,0,2025
Chema,Espanha,Meio Campista,19,0,0,0,,,0,0,0,2025
Víctor Muñoz,Espanha,"Atacante, Defensor",21,0,1,0,"15,3",3,0,0,0,2025
Daniel Yáñez,Espanha,Meio Campista,,,,,,,,,,2025
Federico Valverde,Uruguai,"Meio Campista, Atacante",25,3,85,23,"23,3",3,1,0,0,2024
Antonio Rüdiger,Alemanha,Defensor,30,2,30,6,"15,1",1,0,0,0,2024
Rodrygo,Brasil,Atacante,22,17,134,61,"15,4",4,6,0,1,2024
Jude Bellingham,Inglaterra,"Meio Campista, Atacante",20,23,95,46,"15,0",0,0,1,1,2024
Dani Carvajal,Espanha,Defensor,31,6,28,13,"14,4",4,0,0,0,2024
Toni Kroos,Alemanha,Meio Campista,33,1,42,18,"25,2",2,12,0,0,2024
Nacho,Espanha,Defensor,33,0,11,3,"14,1",1,0,0,0,2024
Vinicius Júnior,Brasil,Atacante,23,24,121,56,"14,9",9,0,3,3,2024
Andriy Lunin,Ucrânia,Goleiro,24,0,0,0,,,0,0,0,2024
Ferland Mendy,França,Defensor,28,1,6,2,"19,8",8,0,0,0,2024
Eduardo Camavinga,França,Meio Campista,20,0,28,11,"24,5",5,0,0,0,2024
Aurélien Tchouaméni,França,"Meio Campista, Defensor",23,3,35,7,"21,6",6,0,0,0,2024
Luka Modrić,Cróacia,Meio Campista,37,2,31,11,"22,7",7,1,0,1,2024
Joselu,Espanha,Atacante,33,18,98,40,"11,9",9,0,1,3,2024
Brahim Díaz,Marrocos,"Meio Campista, Atacante",23,12,55,23,"15,8",8,0,0,0,2024
Lucas Vázquez,Espanha,Defensor,32,3,15,8,"14,8",8,0,0,0,2024
Kepa Arrizabalaga,Espanha,Goleiro,28,0,0,0,,,0,0,0,2024
Fran Garcia,Espanha,Defensor,23,1,9,1,"20,9",9,0,0,0,2024
David Alaba,Áustria,Defensor,31,0,18,3,"18,8",8,7,0,0,2024
Dani Ceballos,Espanha,Meio Campista,26,1,10,2,"17,1",1,1,0,0,2024
Éder Militão,Brasil,Defensor,25,0,2,2,"22,4",4,0,0,0,2024
Arda Güler,Turquia,Meio Campista,18,6,18,7,"21,9",9,1,0,0,2024
Thibaut Courtois,Bélgica,Goleiro,31,0,0,0,,,0,0,0,2024
Nicolás Paz,Argentina,Meio Campista,18,1,5,1,"27,5",5,0,0,0,2024
Álvaro Carrillo,Espanha,Defensor,21,0,0,0,,,,0,0,2024
Vinicius Tobias,Brasil,Defensor,19,0,1,1,,,,0,0,2024
Mario Martín,Espanha,Meio Campista,19,0,0,0,,,0,0,0,2024
Gonzalo García,Espanha,Meio Campista,19,0,1,1,"19,1",1,0,0,0,2024
Álvaro Rodríguez,Uruguai,Atacante,19,0,1,0,,,0,0,0,2024
Vinicius Júnior,Brasil,Atacante,22,20,129,60,"15,3",3,0,0,0,2023
Thibaut Courtois,Bélgica,Goleiro,30,0,0,0,,,0,0,0,2023
Éder Militão,Brasil,Defensor,24,7,32,11,"15,2",2,0,0,0,2023
Federico Valverde,Uruguai,"Meio Campista, Atacante",24,9,98,31,"22,6",6,3,0,0,2023
Rodrygo,Brasil,Atacante,21,18,132,46,"16,3",3,9,3,3,2023
Antonio Rüdiger,Alemanha,Defensor,29,2,33,5,"15,9",9,0,0,0,2023
Toni Kroos,Alemanha,Meio Campista,32,2,45,15,"25,9",9,5,0,0,2023
Karim Benzema,França,Atacante,34,30,159,66,"15,6",6,6,9,10,2023
Eduardo Camavinga,França,"Meio Campista, Defensor",19,0,26,4,"22,5",5,0,0,0,2023
Dani Carvajal,Espanha,Defensor,30,0,15,0,"17,6",6,0,0,0,2023
Luka Modrić,Cróacia,Meio Campista,36,6,41,7,"20,4",4,1,2,2,2023
David Alaba,Áustria,Defensor,30,2,21,6,"20,9",9,8,0,0,2023
Aurélien Tchouaméni,França,Meio Campista,22,0,47,8,"21,2",2,0,0,0,2023
Nacho,Espanha,Defensor,32,1,14,5,"15,6",6,0,0,0,2023
Ferland Mendy,França,Defensor,27,0,3,1,"16,4",4,0,0,0,2023
Marco Asensio,Espanha,"Atacante, Meio Campista",26,12,77,35,"21,0",0,5,0,1,2023
Dani Ceballos,Espanha,Meio Campista,25,1,24,9,"20,3",3,0,0,0,2023
Lucas Vázquez,Espanha,Defensor,31,4,14,7,"18,5",5,0,0,0,2023
Andriy Lunin,Ucrânia,Goleiro,23,0,0,0,,,0,0,0,2023
Eden Hazard,Bélgica,"Atacante, Meio Campista",31,1,4,1,"14,3",3,0,0,1,2023
Mariano,República Dominicana,Atacante,28,0,5,0,"10,3",3,0,0,0,2023
Álvaro Rodríguez,Uruguai,Atacante,18,1,4,1,"8,0",0,0,0,0,2023
Casemiro,Brasil,Meio Campista,30,0,0,0,,,0,0,0,2023
Álvaro Odriozola,Espanha,Defensor,26,0,1,0,"13,7",7,0,0,0,2023
Jesús Vallejo,Espanha,Defensor,25,0,1,1,"5,7",7,0,0,0,2023
Sergio Arribas,Espanha,Meio Campista,20,0,1,0,"16,3",3,0,0,0,2023
Mario Martín,Espanha,Meio Campista,18,0,0,0,,,,0,0,2023
Thibaut Courtois,Bélgica,Goleiro,29,0,0,0,,,0,0,0,2022
Éder Militão,Brasil,Defensor,23,2,46,13,"16,2",2,0,0,0,2022
Vinicius Júnior,Brasil,Atacante,21,22,113,54,"14,8",8,0,0,0,2022
David Alaba,Áustria,Defensor,29,3,30,8,"22,2",2,9,0,0,2022
Casemiro,Brasil,Meio Campista,29,1,59,17,"24,8",8,1,0,0,2022
Karim Benzema,França,Atacante,33,44,168,71,"16,5",5,7,11,15,2022
Luka Modrić,Cróacia,Meio Campista,35,3,44,16,"22,1",1,1,1,1,2022
Toni Kroos,Alemanha,Meio Campista,31,3,61,20,"24,4",4,6,0,0,2022
Federico Valverde,Uruguai,"Meio Campista, Atacante",23,1,46,10,"24,9",9,0,0,0,2022
Ferland Mendy,França,Defensor,26,2,14,5,"21,4",4,0,0,0,2022
Dani Carvajal,Espanha,Defensor,29,1,15,4,"19,4",4,0,0,0,2022
Nacho,Espanha,Defensor,31,3,13,4,"11,4",4,0,0,0,2022
Lucas Vázquez,Espanha,"Defensor, Atacante",30,3,19,5,"20,6",6,0,0,0,2022
Rodrygo,Brasil,"Atacante, Meio Campista",20,9,65,26,"15,3",3,1,0,0,2022
Marco Asensio,Espanha,"Atacante, Meio Campista",25,12,75,37,"18,9",9,2,0,0,2022
Eduardo Camavinga,França,Meio Campista,18,2,20,7,"24,2",2,0,0,0,2022
Eden Hazard,Bélgica,Atacante,30,1,16,11,"15,8",8,0,0,0,2022
Marcelo,Brasil,Defensor,33,0,12,3,"21,2",2,0,0,0,2022
Luka Jović,Sérvia,Atacante,23,1,20,5,"12,8",8,0,0,0,2022
Isco,Espanha,"Atacante, Meio Campista",29,2,10,4,"16,5",5,0,0,0,2022
Mariano,República Dominicana,Atacante,27,1,15,3,"13,0",0,0,0,0,2022
Andriy Lunin,Ucrânia,Goleiro,22,0,0,0,,,0,0,0,2022
Jesús Vallejo,Espanha,Defensor,24,0,0,0,,,0,0,0,2022
Dani Ceballos,Espanha,"Meio Campista, Atacante",24,0,11,4,"20,1",1,1,0,0,2022
Miguel Gutiérrez,Espanha,Defensor,20,0,1,0,"20,6",6,0,0,0,2022
Gareth Bale,País de Gales,Atacante,32,1,15,6,"19,7",7,2,0,0,2022
Antonio Blanco,Espanha,Meio Campista,21,0,0,0,,,0,0,0,2022
Peter González,República Dominicana,"Meio Campista, Defensor",19,0,2,1,"22,8",8,0,0,0,2022
Mario Gila,Espanha,Defensor,20,0,0,0,,,0,0,0,2022
Sergio Santos,Espanha,Defensor,20,0,0,0,,,0,0,0,2022
Juanmi Latasa,Espanha,Atacante,20,0,1,0,"9,3",3,0,0,0,2022
Thibaut Courtois,Bélgica,Goleiro,28,0,0,0,,,0,0,0,2021
Casemiro,Brasil,Meio Campista,28,7,58,13,"19,6",6,0,0,0,2021
Karim Benzema,França,Atacante,32,30,160,71,"15,0",0,6,1,1,2021
Luka Modrić,Cróacia,Meio Campista,34,6,58,19,"22,2",2,1,0,0,2021
Raphaël Varane,França,Defensor,27,2,20,5,"10,0",0,0,0,0,2021
Ferland Mendy,França,Defensor,25,2,19,5,"18,9",9,0,0,0,2021
Toni Kroos,Alemanha,Meio Campista,30,3,53,18,"23,9",9,1,0,0,2021
Lucas Vázquez,Espanha,"Defensor, Atacante",29,2,35,10,"19,9",9,0,0,0,2021
Nacho,Espanha,Defensor,30,1,16,5,"14,9",9,1,0,0,2021
Vinicius Júnior,Brasil,Atacante,20,6,59,19,"14,3",3,0,0,0,2021
Marco Asensio,Espanha,Atacante,24,7,69,25,"18,8",8,4,0,0,2021
Federico Valverde,Uruguai,"Meio Campista, Defensor",22,3,28,9,"22,1",1,0,0,0,2021
Sergio Ramos,Espanha,Defensor,34,4,22,7,"13,4",4,3,3,3,2021
Éder Militão,Brasil,Defensor,22,2,18,6,"13,2",2,0,0,0,2021
Marcelo,Brasil,Defensor,32,0,16,1,"21,5",5,0,0,0,2021
Rodrygo,Brasil,"Atacante, Meio Campista",19,2,30,7,"16,3",3,1,0,0,2021
Dani Carvajal,Espanha,Defensor,28,0,9,2,"26,1",1,0,0,0,2021
Isco,Espanha,"Atacante, Meio Campista",28,0,23,3,"18,7",7,2,0,0,2021
Álvaro Odriozola,Espanha,Defensor,24,2,3,2,"11,0",0,0,0,0,2021
Eden Hazard,Bélgica,Atacante,29,4,17,8,"17,3",3,0,1,1,2021
Mariano,República Dominicana,Atacante,26,1,19,6,"16,5",5,0,0,0,2021
Martin Ødegaard,Noruega,Meio Campista,21,0,5,2,"20,5",5,0,0,0,2021
Miguel Gutiérrez,Espanha,"Defensor, Meio Campista",19,0,0,0,,,0,0,0,2021
Antonio Blanco,Espanha,Meio Campista,20,0,2,0,"32,9",9,0,0,0,2021
Víctor Chust,Espanha,Defensor,20,0,1,0,,,0,0,0,2021
Luka Jović,Sérvia,Atacante,22,0,8,2,"12,9",9,0,0,0,2021
Sergio Arribas,Espanha,Atacante,18,0,1,1,"26,1",1,0,0,0,2021
Marvin,Espanha,Atacante,20,0,1,0,"13,8",8,0,0,0,2021
Andriy Lunin,Ucrânia,Goleiro,21,0,0,0,,,,0,0,2021
Hugo Duro,Espanha,Atacante,20,0,2,0,"16,2",2,0,0,0,2021
Borja Mayoral,Espanha,Atacante,23,0,0,0,,,0,0,0,2021
Casemiro,Brasil,Meio Campista,27,5,63,19,"24,3",3,5,0,0,2020
Karim Benzema,França,Atacante,31,27,158,71,"14,4",4,1,5,5,2020
Thibaut Courtois,Bélgica,Goleiro,27,0,1,1,"11,3",3,0,0,0,2020
Raphaël Varane,França,Defensor,26,3,21,5,"12,2",2,0,0,0,2020
Sergio Ramos,Espanha,Defensor,33,13,42,14,"15,0",0,4,7,7,2020
Dani Carvajal,Espanha,Defensor,27,1,24,13,"20,2",2,0,0,0,2020
Toni Kroos,Alemanha,Meio Campista,29,6,77,26,"23,4",4,2,0,0,2020
Federico Valverde,Uruguai,Meio Campista,21,2,32,14,"23,0",0,0,0,0,2020
Luka Modrić,Cróacia,Meio Campista,33,5,44,17,"22,4",4,0,0,0,2020
Ferland Mendy,França,Defensor,24,1,12,3,"19,9",9,0,0,0,2020
Marcelo,Brasil,Defensor,31,2,30,10,"22,5",5,0,0,0,2020
Vinicius Júnior,Brasil,Atacante,19,5,48,22,"14,5",5,0,0,0,2020
Isco,Espanha,"Meio Campista, Atacante",27,3,36,18,"17,2",2,2,0,0,2020
Eden Hazard,Bélgica,Atacante,28,1,31,18,"16,6",6,0,0,0,2020
Éder Militão,Brasil,Defensor,21,0,5,2,"12,3",3,0,0,0,2020
Rodrygo,Brasil,Atacante,18,7,26,15,"11,9",9,0,0,0,2020
Gareth Bale,País de Gales,"Atacante, Meio Campista",30,3,41,13,"18,2",2,5,0,0,2020
Lucas Vázquez,Espanha,"Atacante, Meio Campista",28,3,15,4,"18,4",4,0,0,0,2020
Luka Jović,Sérvia,Atacante,21,2,20,5,"12,9",9,0,0,0,2020
Alphonse Areola,França,Goleiro,26,0,0,0,,,0,0,0,2020
James Rodríguez,Colômbia,Meio Campista,28,1,20,3,"17,7",7,1,0,0,2020
Nacho,Espanha,Defensor,29,2,8,2,"22,8",8,0,0,0,2020
Álvaro Odriozola,Espanha,Defensor,23,0,2,0,"16,2",2,0,0,0,2020
Marco Asensio,Espanha,Atacante,23,3,8,5,"15,7",7,1,0,0,2020
Brahim Díaz,Marrocos,Atacante,19,1,8,4,"17,3",3,0,0,0,2020
Mariano,República Dominicana,"Atacante, Meio Campista",25,1,9,3,"11,6",6,0,0,0,2020
Karim Benzema,França,Atacante,30,30,143,62,"13,7",7,0,3,3,2019
Raphaël Varane,França,Defensor,25,2,24,5,"10,1",1,0,0,0,2019
Sergio Ramos,Espanha,Defensor,32,10,44,13,"15,3",3,3,8,8,2019
Luka Modrić,Cróacia,Meio Campista,32,3,49,17,"21,0",0,0,0,0,2019
Toni Kroos,Alemanha,Meio Campista,28,1,48,15,"24,9",9,0,0,0,2019
Casemiro,Brasil,Meio Campista,26,4,50,9,"19,7",7,1,0,0,2019
Thibaut Courtois,Bélgica,Goleiro,26,0,1,0,"11,9",9,0,0,0,2019
