Data,Competição,Partida,Local,Marcador,Adversário,Titular,Parte do Corpo,Distância da Finalização,Minuto,Placar Antes do Gol,Goleiro Adversário,Assistência,Início de Jogada p/ Gol,Tipo,Pré-Ação de Gol,Tipo,Observações
2024-08-14,Super Copa da Uefa,Final da Super Copa da UEFA,Casa,Federico Valverde,Atalanta,Sim,,,59,,,Vinicius Júnior,,,,,
2024-08-14,Super Copa da Uefa,Final da Super Copa da UEFA,Casa,Kylian Mbappé,Atalanta,Sim,,,68,,,Jude Bellingham,,,,,
2024-08-18,La Liga,Rodada 1,Fora,Rodrygo,Mallorca,Sim,Perna Direita,16,13,0-0,Dominik Greif,Vinicius Júnior,Vinicius Júnior,Pass (Live),,,
2024-08-25,La Liga,Rodada 2,Casa,Federico Valverde,Valladolid,Sim,Perna Direita,28,50,0-0,Karl Jakob Hein,Rodrygo,Rodrygo,Pass (Live),Arda Güler,Pass (Dead),Deflected
2024-08-25,La Liga,Rodada 2,Casa,Brahim Díaz,Valladolid,Não,Perna Esquerda,14,88,1-0,Karl Jakob Hein,Éder Militão,Éder Militão,Pass (Live),Luka Modrić,Pass (Live),Volley
2024-08-25,La Liga,Rodada 2,Casa,Endrick,Valladolid,Não,Perna Direita,15,90+6,2-0,Karl Jakob Hein,Brahim Díaz,Brahim Díaz,Pass (Live),Dani Ceballos,Pass (Live),
2024-08-29,La Liga,Rodada 3,Fora,Vinicius Júnior,Las Palmas,Sim,Perna Direita,13,69,0-1,Jasper Cillessen,,,Fouled,Arda Güler,Chute,
2024-09-01,La Liga,Rodada 4,Casa,Kylian Mbappé,Real Betis,Sim,Perna Esquerda,10,67,0-0,Rui Silva,Federico Valverde,Federico Valverde,Pass (Live),Rodrygo,Pass (Live),
2024-09-01,La Liga,Rodada 4,Casa,Kylian Mbappé,Real Betis,Sim,Perna Direita,13,75,1-0,Rui Silva,,Vinicius Júnior,Fouled,Brahim Díaz,Pass (Live),
2024-09-14,La Liga,Rodada 5,Fora,Vinicius Júnior,Real Sociedad,Sim,Perna Direita,13,58,0-0,Álex Remiro,,Arda Güler,Chute,,,
2024-09-14,La Liga,Rodada 5,Fora,Kylian Mbappé,Real Sociedad,Sim,Perna Direita,13,75,1-0,Álex Remiro,,Vinicius Júnior,Fouled,Vinicius Júnior,Take-On,
2024-09-17,Champions League,Fase de Liga,Casa,Kylian Mbappé,Stuttgart,Sim,Perna Direita,7,46,0-0,Alexander Nübel,Rodrygo,Rodrygo,Pass (Live),Dani Carvajal,Pass (Live),
2024-09-17,Champions League,Fase de Liga,Casa,Antonio Rüdiger,Stuttgart,Sim,Cabeça,5,83,1-1,Alexander Nübel,Luka Modrić,Luka Modrić,Pass (Dead),Federico Valverde,Pass (Live),
2024-09-17,Champions League,Fase de Liga,Casa,Endrick,Stuttgart,Não,Perna Esquerda,30,90+5,2-1,Alexander Nübel,Dani Carvajal,,,,,
2024-09-21,La Liga,Rodada 6,Casa,Dani Carvajal,Espanyol,Sim,Perna Direita,2,58,0-1,Joan García,,Federico Valverde,Chute,,,
2024-09-21,La Liga,Rodada 6,Casa,Rodrygo,Espanyol,Sim,Perna Direita,9,75,1-1,Joan García,Vinicius Júnior,Vinicius Júnior,Pass (Live),Kylian Mbappé,Pass (Live),
2024-09-21,La Liga,Rodada 6,Casa,Vinicius Júnior,Espanyol,Não,Perna Esquerda,12,78,2-1,Joan García,Kylian Mbappé,Kylian Mbappé,Pass (Live),,,
2024-09-21,La Liga,Rodada 6,Casa,Kylian Mbappé,Espanyol,Sim,Perna Direita,13,90,3-1,Joan García,,Endrick,Fouled,Endrick,Take-On,
2024-09-24,La Liga,Rodada 7,Casa,Lucas Vázquez,Alavés,Sim/Capitão,Perna Esquerda,9,1,0-0,Antonio Sivera,Vinicius Júnior,Vinicius Júnior,Pass (Live),Vinicius Júnior,Take-On,
2024-09-24,La Liga,Rodada 7,Casa,Kylian Mbappé,Alavés,Sim,Perna Direita,12,40,1-0,Antonio Sivera,Jude Bellingham,Kylian Mbappé,Take-On,Jude Bellingham,Pass (Live),
2024-09-24,La Liga,Rodada 7,Casa,Rodrygo,Alavés,Sim,Perna Direita,12,48,2-0,Antonio Sivera,Lucas Vázquez,Rodrygo,Take-On,Lucas Vázquez,Pass (Live),
2024-09-29,La Liga,Rodada 8,Fora,Éder Militão,Atlético Madrid,Sim,Perna Direita,12,64,0-0,Jan Oblak,Vinicius Júnior,Vinicius Júnior,Pass (Live),Luka Modrić,Pass (Dead),Deflected
2024-10-05,La Liga,Rodada 9,Casa,Federico Valverde,Villarreal,Sim,Perna Direita,29,14,0-0,Diego Conde,Luka Modrić,Luka Modrić,Pass (Dead),Dani Carvajal,Pass (Dead),Deflected
2024-10-05,La Liga,Rodada 9,Casa,Vinicius Júnior,Villarreal,Sim,Perna Direita,28,73,1-0,Diego Conde,Federico Valverde,Federico Valverde,Pass (Live),Dani Carvajal,Pass (Live),
2024-10-19,La Liga,Rodada 10,Fora,Kylian Mbappé,Celta Vigo,Sim,Perna Direita,30,20,0-0,Vicente Guaita,Eduardo Camavinga,,,,,
2024-10-19,La Liga,Rodada 10,Fora,Vinicius Júnior,Celta Vigo,Sim,Perna Direita,10,66,1-1,Vicente Guaita,Luka Modrić,Luka Modrić,Pass (Live),Rodrygo,Pass (Live),
2024-10-22,Champions League,Fase de Liga,Casa,Antonio Rüdiger,Borussia Dortmund,Sim,Cabeça,5,60,0-2,Gregor Kobel,Kylian Mbappé,Kylian Mbappé,Pass (Live),Jude Bellingham,Chute,
2024-10-22,Champions League,Fase de Liga,Casa,Vinicius Júnior,Borussia Dortmund,Sim,Perna Esquerda,11,62,1-2,Gregor Kobel,,Luka Modrić,Pass (Live),Federico Valverde,Pass (Live),
2024-10-22,Champions League,Fase de Liga,Casa,Lucas Vázquez,Borussia Dortmund,Sim,Perna Direita,10,83,2-2,Gregor Kobel,,,,,,
2024-10-22,Champions League,Fase de Liga,Casa,Vinicius Júnior,Borussia Dortmund,Sim,Perna Direita,22,86,3-2,Gregor Kobel,Jude Bellingham,,,,,
2024-10-22,Champions League,Fase de Liga,Casa,Vinicius Júnior,Borussia Dortmund,Sim,Perna Esquerda,10,90+3,4-2,Gregor Kobel,,Vinicius Júnior,Take-On,,,
2024-11-05,Champions League,Fase de Liga,Casa,Vinicius Júnior,Milan,Sim,Perna Direita,13,23,0-1,Mike Maignan,,Vinicius Júnior,Fouled,Jude Bellingham,Pass (Live),
2024-11-09,La Liga,Rodada 13,Casa,Vinicius Júnior,Osasuna,Sim,Perna Direita,12,34,0-0,Sergio Herrera,Jude Bellingham,Jude Bellingham,Pass (Live),,,
2024-11-09,La Liga,Rodada 13,Casa,Jude Bellingham,Osasuna,Sim,Perna Direita,17,42,1-0,Sergio Herrera,Raúl Asencio,Raúl Asencio,Pass (Live),Federico Valverde,Pass (Live),Volley
2024-11-09,La Liga,Rodada 13,Casa,Vinicius Júnior,Osasuna,Sim,Perna Esquerda,5,61,2-0,Sergio Herrera,Andriy Lunin,Vinicius Júnior,Take-On,Andriy Lunin,Pass (Live),
2024-11-09,La Liga,Rodada 13,Casa,Vinicius Júnior,Osasuna,Sim,Perna Direita,8,69,3-0,Sergio Herrera,Brahim Díaz,Brahim Díaz,Pass (Live),Brahim Díaz,Tackle,Deflected
2024-11-24,La Liga,Rodada 14,Fora,Kylian Mbappé,Leganés,Sim,Perna Direita,5,43,0-0,Marko Dmitrović,Vinicius Júnior,Vinicius Júnior,Pass (Live),Vinicius Júnior,Take-On,
2024-11-24,La Liga,Rodada 14,Fora,Federico Valverde,Leganés,Sim/Capitão,Perna Direita,26,66,1-0,Marko Dmitrović,Arda Güler,Arda Güler,Pass (Live),Dani Ceballos,Pass (Dead),
2024-11-24,La Liga,Rodada 14,Fora,Jude Bellingham,Leganés,Sim,Cabeça,6,85,2-0,Marko Dmitrović,,Brahim Díaz,Chute,,,
2024-12-01,La Liga,Rodada 15,Casa,Jude Bellingham,Getafe,Sim,Perna Direita,13,30,0-0,David Soria,,Antonio Rüdiger,Fouled,Federico Valverde,Pass (Live),
2024-12-01,La Liga,Rodada 15,Casa,Kylian Mbappé,Getafe,Sim,Perna Direita,25,38,1-0,David Soria,Jude Bellingham,Jude Bellingham,Pass (Live),Federico Valverde,Pass (Live),
2024-12-04,La Liga,Rodada 19,Fora,Jude Bellingham,Athletic Club,Sim,Perna Esquerda,10,78,0-1,Julen Agirrezabala,,Kylian Mbappé,Chute,,,
2024-12-07,La Liga,Rodada 16,Fora,Jude Bellingham,Girona,Sim,Perna Direita,14,36,0-0,Paulo Gazzaniga,,Brahim Díaz,Take-On,Jude Bellingham,Pass (Live),
2024-12-07,La Liga,Rodada 16,Fora,Arda Güler,Girona,Sim,Perna Esquerda,17,55,1-0,Paulo Gazzaniga,Jude Bellingham,Jude Bellingham,Pass (Live),Luka Modrić,Pass (Live),
2024-12-07,La Liga,Rodada 16,Fora,Kylian Mbappé,Girona,Sim,Perna Direita,13,62,2-0,Paulo Gazzaniga,Luka Modrić,Luka Modrić,Pass (Live),Federico Valverde,Pass (Live),
2024-12-10,Champions League,Fase de Liga,Fora,Kylian Mbappé,Atalanta,Sim,Perna Direita,14,10,0-0,Marco Carnesecchi,Brahim Díaz,Kylian Mbappé,Take-On,Brahim Díaz,Pass (Live),
2024-12-10,Champions League,Fase de Liga,Fora,Vinicius Júnior,Atalanta,Sim,Perna Esquerda,16,56,1-1,Marco Carnesecchi,,Jude Bellingham,Pass (Live),Brahim Díaz,Pass (Live),
2024-12-10,Champions League,Fase de Liga,Fora,Jude Bellingham,Atalanta,Sim,Perna Esquerda,15,59,2-1,Marco Carnesecchi,Vinicius Júnior,Vinicius Júnior,Pass (Live),Thibaut Courtois,Pass (Live),
2024-12-14,La Liga,Rodada 17,Fora,Federico Valverde,Rayo Vallecano,Sim,Perna Direita,29,39,0-2,Augusto Batalla,Arda Güler,Arda Güler,Pass (Live),Lucas Vázquez,Pass (Live),Deflected
2024-12-14,La Liga,Rodada 17,Fora,Jude Bellingham,Rayo Vallecano,Sim,Cabeça,11,45,1-2,Augusto Batalla,Rodrygo,Rodrygo,Pass (Live),Antonio Rüdiger,Pass (Live),
2024-12-14,La Liga,Rodada 17,Fora,Rodrygo,Rayo Vallecano,Sim,Perna Esquerda,22,56,2-2,Augusto Batalla,Arda Güler,Arda Güler,Pass (Live),Luka Modrić,Pass (Live),Deflected
