Jogador,Nacionalidade,Posição,Idade,N° Toques na Bola,N° Toques na Grande Área Defensiva,N° Toques no Terço Defensivo,N° Toques na Área Central,N° Toques no Terço Ofensivo,N° Toques na Grande Área Ofensiva,Toques com Bola rolando,Tentativas de Dribles,Dribles Certos,Derrubado Por Defensor Durante Ataque,N° de Conduções com os pés,Distância Total Conduzida,Distância Total Conduzida em Direção ao Gol,Conduções Progressivas,Conduções no Último Terço,Conduções na Grande Área,Perdas no Controle de Bola,Perdas por Desarme,Passes Recebidos,Passes Progressivos Recebidos,Temporada
Federico Valverde,Uruguai,"Meio Campista, Defensor",26,3495,158,779,1940,799,52,3495,35,20,12,2158,11206,5737,90,73,9,37,4,2591,99,2025
Kylian Mbappé,França,Atacante,25,2044,2,49,596,1418,403,2034,236,107,114,1393,9185,5157,203,121,120,103,67,1756,503,2025
Jude Bellingham,Inglaterra,Meio Campista,21,2641,53,376,1304,993,148,2639,119,67,40,1756,8701,4010,97,82,17,79,72,2147,190,2025
Aurélien Tchouaméni,França,"Meio Campista, Defensor",24,2948,276,1035,1651,277,32,2948,21,14,4,1884,9358,4836,24,24,1,25,9,2153,15,2025
Thibaut Courtois,Bélgica,Goleiro,32,1565,1390,1559,6,0,0,1565,1,0,1,986,4535,2837,0,0,0,0,0,931,0,2025
Antonio Rüdiger,Alemanha,Defensor,31,2958,374,1419,1430,122,31,2958,8,3,3,2000,9309,5601,27,31,3,8,4,2259,6,2025
Vinicius Júnior,Brasil,Atacante,24,1832,6,124,557,1195,294,1827,274,110,144,1370,11073,6426,251,125,146,108,64,1504,378,2025
Rodrygo,Brasil,"Meio Campista, Atacante",23,1926,23,146,648,1161,182,1926,142,67,58,1290,8469,4953,158,124,72,64,25,1518,353,2025
Lucas Vázquez,Espanha,Defensor,33,2340,80,617,985,751,75,2340,44,23,17,1320,5223,2518,44,21,22,44,15,1676,241,2025
Raúl Asencio,Espanha,Defensor,21,1607,234,876,679,65,17,1607,11,8,0,1044,5201,2674,8,15,1,8,10,1145,6,2025
Fran Garcia,Espanha,Defensor,24,1991,79,559,784,666,37,1991,25,10,15,1103,5156,2991,86,57,16,25,11,1268,197,2025
Luka Modrić,Cróacia,Meio Campista,38,2835,59,470,1544,846,30,2835,33,20,12,1940,9603,4646,73,72,15,28,16,2221,77,2025
Ferland Mendy,França,Defensor,29,1309,53,349,697,271,11,1309,12,6,5,822,2797,1202,18,16,2,18,12,949,62,2025
Brahim Díaz,Marrocos,"Atacante, Meio Campista",24,1142,7,112,563,485,90,1142,70,37,28,768,3642,1865,58,24,16,55,37,917,143,2025
Eduardo Camavinga,França,Meio Campista,21,1322,74,380,695,269,18,1322,38,18,14,813,4326,2332,33,35,8,12,15,899,36,2025
Dani Ceballos,Espanha,Meio Campista,27,1860,52,385,1160,327,12,1860,22,9,8,1268,6502,3516,46,34,2,14,10,1486,19,2025
Arda Güler,Turquia,"Meio Campista, Atacante",19,1186,18,150,538,510,55,1186,48,22,21,790,3953,2022,40,37,11,25,9,902,93,2025
Andriy Lunin,Ucrânia,Goleiro,25,250,210,249,1,0,0,250,0,0,0,143,489,251,0,0,0,0,0,122,0,2025
Éder Militão,Brasil,Defensor,26,1033,111,486,506,45,16,1033,9,6,3,687,3380,1932,9,7,0,6,4,760,2,2025
Dani Carvajal,Espanha,Defensor,32,692,35,172,300,222,16,692,6,2,4,386,1796,792,16,9,0,9,7,484,62,2025
Endrick,Brasil,Atacante,18,181,2,14,62,108,28,181,14,5,8,118,723,377,13,6,10,14,6,137,42,2025
David Alaba,Áustria,Defensor,32,375,51,194,147,35,4,375,0,0,0,259,1169,578,3,1,0,1,0,290,10,2025
Jacobo Ramón,Espanha,Defensor,19,133,10,69,55,11,4,133,0,0,0,70,295,139,0,1,0,2,2,82,2,2025
Jesús Vallejo,Espanha,Defensor,27,78,7,29,46,5,0,78,0,0,0,50,163,62,0,0,0,0,0,52,1,2025
Diego Aguado,Espanha,Defensor,17,,,,,,,,,,,,,,,,,,,,,2025
Fran,Espanha,Goleiro,19,22,20,22,0,0,0,22,0,0,0,12,40,23,0,0,0,0,0,13,0,2025
Lorenzo Aguado,Espanha,Defensor,21,3,0,3,0,0,0,3,0,0,0,1,2,0,0,0,0,0,1,1,0,2025
Gonzalo García,Espanha,Meio Campista,20,22,0,1,6,15,5,22,0,0,0,14,66,19,0,0,0,0,3,17,3,2025
Chema,Espanha,Meio Campista,19,3,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2025
Víctor Muñoz,Espanha,"Atacante, Defensor",21,17,0,1,0,16,4,17,2,0,2,15,142,40,3,1,2,1,1,16,9,2025
Daniel Yáñez,Espanha,Meio Campista,17,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,1,0,2025
Federico Valverde,Uruguai,"Meio Campista, Atacante",25,3186,106,537,1798,890,86,3186,60,32,26,2118,11995,6252,131,122,17,35,17,2472,137,2024
Antonio Rüdiger,Alemanha,Defensor,30,2760,380,1389,1297,85,32,2760,5,2,3,1848,8769,5414,17,15,1,5,3,2084,1,2024
Rodrygo,Brasil,Atacante,22,1856,14,91,604,1185,268,1855,192,78,91,1375,9719,5601,208,134,106,89,43,1544,383,2024
Jude Bellingham,Inglaterra,"Meio Campista, Atacante",20,2607,30,260,1372,1014,178,2606,129,69,46,1770,9767,4747,121,107,38,73,65,2154,253,2024
Dani Carvajal,Espanha,Defensor,31,2304,148,641,1001,684,71,2304,30,12,14,1260,5076,2509,43,44,11,34,26,1504,211,2024
Toni Kroos,Alemanha,Meio Campista,33,3643,95,810,2230,630,16,3643,11,7,3,2444,10863,5576,39,60,2,11,10,2896,38,2024
Nacho,Espanha,Defensor,33,2154,312,1076,990,99,30,2154,8,4,3,1296,5315,3186,17,16,1,12,3,1576,10,2024
Vinicius Júnior,Brasil,Atacante,23,1504,3,84,418,1032,274,1502,254,102,130,1129,9272,5118,207,115,130,92,62,1254,388,2024
Andriy Lunin,Ucrânia,Goleiro,24,998,859,995,3,0,0,998,0,0,0,566,2520,1586,0,0,0,0,0,530,0,2024
Ferland Mendy,França,Defensor,28,1932,72,544,950,452,20,1932,36,18,16,1182,4609,2029,23,29,4,26,16,1387,124,2024
Eduardo Camavinga,França,Meio Campista,20,2244,88,559,1247,474,29,2244,94,49,25,1449,8110,4239,62,74,6,43,34,1675,47,2024
Aurélien Tchouaméni,França,"Meio Campista, Defensor",23,2191,165,676,1265,264,25,2191,13,6,3,1499,7950,4331,31,46,1,17,13,1670,17,2024
Luka Modrić,Cróacia,Meio Campista,37,2271,35,318,1229,739,56,2270,49,22,19,1556,7962,3712,69,75,14,12,25,1785,107,2024
Joselu,Espanha,Atacante,33,642,17,54,279,312,132,640,14,6,7,372,1214,406,17,9,14,35,15,495,111,2024
Brahim Díaz,Marrocos,"Meio Campista, Atacante",23,1185,8,67,491,651,117,1185,137,67,63,851,5512,2940,93,71,38,57,58,961,195,2024
Lucas Vázquez,Espanha,Defensor,32,1638,62,404,645,594,80,1638,53,26,21,964,4028,1874,41,31,20,23,16,1188,205,2024
Kepa Arrizabalaga,Espanha,Goleiro,28,623,543,620,3,0,0,623,0,0,0,421,1700,1106,0,0,0,0,0,385,0,2024
Fran Garcia,Espanha,Defensor,23,1350,45,350,567,445,28,1350,19,9,9,838,4483,2429,69,35,6,26,11,894,163,2024
David Alaba,Áustria,Defensor,31,1242,143,568,560,121,19,1242,4,1,3,881,4365,2371,11,11,0,7,1,922,22,2024
Dani Ceballos,Espanha,Meio Campista,26,772,11,112,419,248,19,772,20,8,9,555,3014,1371,20,21,3,13,17,635,29,2024
