Jogador,Nacionalidade,Posição,Idade,Ações Criadoras de Chute,Passes p/ Chute (Jogo Corrido),Passes p/ Chute (Bola Parada),Dribles Criadores de Chute,Chutes Criadores de Novo Chute,Faltas Sofridas p/ Chute,Recuperações para Chute,Ações Criadoras de Gol,Temporada
Federico Valverde,Uruguai,"Meio Campista, Defensor",26,125,115,1,1,7,0,1,19,2025
Kylian Mbappé,França,Atacante,25,176,110,3,30,22,10,1,21,2025
Jude Bellingham,Inglaterra,Meio Campista,21,144,118,1,8,9,4,4,19,2025
Aurélien Tchouaméni,França,"Meio Campista, Defensor",24,48,45,1,0,1,0,1,0,2025
Thibaut Courtois,Bélgica,Goleiro,32,5,4,1,0,0,0,0,1,2025
Antonio Rüdiger,Alemanha,Defensor,31,37,27,0,0,7,3,0,2,2025
Vinicius Júnior,Brasil,Atacante,24,187,111,4,39,16,13,4,27,2025
Rodrygo,Brasil,"Meio Campista, Atacante",23,142,87,23,19,7,5,1,13,2025
Lucas Vázquez,Espanha,Defensor,33,82,65,8,2,3,3,1,9,2025
Raúl Asencio,Espanha,Defensor,21,16,15,0,1,0,0,0,2,2025
Fran Garcia,Espanha,Defensor,24,61,55,0,1,3,0,2,3,2025
Luka Modrić,Cróacia,Meio Campista,38,154,107,41,1,4,0,1,19,2025
Ferland Mendy,França,Defensor,29,18,16,0,0,1,0,1,2,2025
Brahim Díaz,Marrocos,"Atacante, Meio Campista",24,72,52,0,12,5,2,1,16,2025
Eduardo Camavinga,França,Meio Campista,21,44,35,1,3,0,4,1,3,2025
Dani Ceballos,Espanha,Meio Campista,27,72,62,8,1,0,1,0,6,2025
Arda Güler,Turquia,"Meio Campista, Atacante",19,93,63,15,9,4,1,1,11,2025
Andriy Lunin,Ucrânia,Goleiro,25,1,1,0,0,0,0,0,1,2025
Éder Militão,Brasil,Defensor,26,15,12,0,0,2,0,1,1,2025
Dani Carvajal,Espanha,Defensor,32,18,16,2,0,0,0,0,3,2025
Endrick,Brasil,Atacante,18,11,8,0,1,1,1,0,2,2025
David Alaba,Áustria,Defensor,32,5,4,1,0,0,0,0,0,2025
Jacobo Ramón,Espanha,Defensor,19,4,3,0,0,1,0,0,0,2025
Jesús Vallejo,Espanha,Defensor,27,3,3,0,0,0,0,0,1,2025
Diego Aguado,Espanha,Defensor,17,,,,,,,,,2025
Fran,Espanha,Goleiro,19,0,0,0,0,0,0,0,0,2025
Lorenzo Aguado,Espanha,Defensor,21,0,0,0,0,0,0,0,0,2025
Gonzalo García,Espanha,Meio Campista,20,2,2,0,0,0,0,0,1,2025
