Jogador,Nacionalidade,Posição,Idade,Partidas Disputadas,Jogos como Títular,Minutos Jogados,Total de Gols,Assistências,Gols de Pênalti,Pênalti Batidos,Conduções ao Gol,Passes Progressivos,Passes Progressivos Recebidos,Temporada
Federico Valverde,Uruguai,"Meio Campista, Defensor",26,58,55,4938,9,8,0,0,90,304,99,2025
Kylian Mbappé,França,Atacante,25,55,51,4532,42,4,7,10,203,175,503,2025
Jude Bellingham,Inglaterra,Meio Campista,21,51,48,4247,14,13,1,2,97,277,190,2025
Aurélien Tchouaméni,França,"Meio Campista, Defensor",24,51,49,4233,2,1,0,0,24,202,15,2025
Thibaut Courtois,Bélgica,Goleiro,32,46,46,4200,0,0,0,0,0,0,0,2025
Antonio Rüdiger,Alemanha,Defensor,31,49,45,4098,3,0,0,0,27,129,6,2025
Vinicius Júnior,Brasil,Atacante,24,51,43,4073,20,14,3,5,251,113,378,2025
Rodrygo,Brasil,"Meio Campista, Atacante",23,50,38,3275,13,9,0,0,158,146,353,2025
Lucas Vázquez,Espanha,Defensor,33,50,36,3232,2,7,0,0,44,124,241,2025
Raúl Asencio,Espanha,Defensor,21,41,32,3063,0,2,0,0,8,34,6,2025
Fran Garcia,Espanha,Defensor,24,47,28,2873,0,4,0,0,86,132,197,2025
Luka Modrić,Cróacia,Meio Campista,38,56,27,2854,4,9,0,0,73,271,77,2025
Ferland Mendy,França,Defensor,29,31,28,2238,0,2,0,0,18,59,62,2025
Brahim Díaz,Marrocos,"Atacante, Meio Campista",24,51,23,2169,6,6,0,0,58,96,143,2025
Eduardo Camavinga,França,Meio Campista,21,34,21,2023,2,2,0,0,33,86,36,2025
Dani Ceballos,Espanha,Meio Campista,27,40,22,1956,0,2,0,0,46,185,19,2025
Arda Güler,Turquia,"Meio Campista, Atacante",19,42,18,1781,5,8,0,0,40,108,93,2025
Andriy Lunin,Ucrânia,Goleiro,25,14,14,1320,0,1,0,0,0,0,0,2025
Éder Militão,Brasil,Defensor,26,17,15,1309,1,1,0,0,9,58,2,2025
Dani Carvajal,Espanha,Defensor,32,11,10,877,1,1,0,0,16,39,62,2025
Endrick,Brasil,Atacante,18,37,8,863,7,0,0,0,13,11,42,2025
David Alaba,Áustria,Defensor,32,14,7,601,0,0,0,0,3,12,10,2025
Jacobo Ramón,Espanha,Defensor,19,5,3,307,1,0,0,0,0,1,2,2025
Jesús Vallejo,Espanha,Defensor,27,4,1,138,0,1,0,0,0,5,1,2025
Diego Aguado,Espanha,Defensor,17,1,1,90,0,0,0,0,,,,2025
Fran,Espanha,Goleiro,19,1,1,90,0,0,0,0,0,0,0,2025
Lorenzo Aguado,Espanha,Defensor,21,3,1,67,0,0,0,0,0,0,0,2025
Gonzalo García,Espanha,Meio Campista,20,4,0,65,1,1,0,0,0,0,3,2025
Chema,Espanha,Meio Campista,19,3,0,40,0,0,0,0,0,0,0,2025
Víctor Muñoz,Espanha,"Atacante, Defensor",21,2,0,36,0,0,0,0,3,0,9,2025
Daniel Yáñez,Espanha,Meio Campista,17,1,0,2,0,0,0,0,0,0,0,2025
Federico Valverde,Uruguai,"Meio Campista, Atacante",25,54,48,4271,3,7,0,0,131,297,137,2024
Antonio Rüdiger,Alemanha,Defensor,30,48,44,4079,2,2,0,0,17,115,1,2024
Rodrygo,Brasil,Atacante,22,51,43,3683,17,8,0,1,208,118,383,2024
Jude Bellingham,Inglaterra,"Meio Campista, Atacante",20,42,41,3629,23,13,1,1,121,265,253,2024
Dani Carvajal,Espanha,Defensor,31,41,37,3347,6,6,0,0,43,107,211,2024
Toni Kroos,Alemanha,Meio Campista,33,48,35,3171,1,10,0,0,39,368,38,2024
Nacho,Espanha,Defensor,33,45,33,3131,0,1,0,0,17,75,10,2024
Vinicius Júnior,Brasil,Atacante,23,39,35,3067,24,9,3,3,207,82,388,2024
Andriy Lunin,Ucrânia,Goleiro,24,31,31,2850,0,0,0,0,0,0,0,2024
Ferland Mendy,França,Defensor,28,37,33,2827,1,0,0,0,23,120,124,2024
Eduardo Camavinga,França,Meio Campista,20,46,32,2817,0,3,0,0,62,148,47,2024
Aurélien Tchouaméni,França,"Meio Campista, Defensor",23,38,31,2808,3,1,0,0,31,146,17,2024
Luka Modrić,Cróacia,Meio Campista,37,46,23,2249,2,7,0,1,69,243,107,2024
Joselu,Espanha,Atacante,33,49,18,2121,18,3,1,3,17,22,111,2024
Brahim Díaz,Marrocos,"Meio Campista, Atacante",23,44,22,2067,12,8,0,0,93,93,195,2024
Lucas Vázquez,Espanha,Defensor,32,38,18,1795,3,7,0,0,41,72,205,2024
Kepa Arrizabalaga,Espanha,Goleiro,28,20,19,1768,0,0,0,0,0,0,0,2024
Fran Garcia,Espanha,Defensor,23,31,18,1693,1,6,0,0,69,70,163,2024
David Alaba,Áustria,Defensor,31,17,17,1404,0,2,0,0,11,57,22,2024
Dani Ceballos,Espanha,Meio Campista,26,27,8,876,1,2,0,0,20,57,29,2024
Éder Militão,Brasil,Defensor,25,13,6,509,0,0,0,0,7,15,2,2024
Arda Güler,Turquia,Meio Campista,18,12,5,444,6,0,0,0,16,17,25,2024
Thibaut Courtois,Bélgica,Goleiro,31,5,5,422,0,0,0,0,0,0,0,2024
Nicolás Paz,Argentina,Meio Campista,18,8,1,133,1,0,0,0,5,8,5,2024
Álvaro Carrillo,Espanha,Defensor,21,1,1,90,0,0,0,0,,,,2024
Vinicius Tobias,Brasil,Defensor,19,1,1,79,0,0,0,0,,,,2024
Mario Martín,Espanha,Meio Campista,19,3,0,39,0,0,0,0,0,0,1,2024
Gonzalo García,Espanha,Meio Campista,19,2,0,19,0,0,0,0,1,0,3,2024
Álvaro Rodríguez,Uruguai,Atacante,19,2,0,12,0,0,0,0,0,0,0,2024
Fran,Espanha,Goleiro,18,0,0,,,,,,,,,2024
Álvaro Odriozola,Espanha,Defensor,27,0,0,,,,,,,,,2024
Jacobo Ramón,Espanha,Defensor,18,0,0,,,,,,,,,2024
Vinicius Júnior,Brasil,Atacante,22,53,51,4564,20,19,0,0,291,107,625,2023
Thibaut Courtois,Bélgica,Goleiro,30,49,49,4470,0,0,0,0,0,0,0,2023
Éder Militão,Brasil,Defensor,24,51,48,4228,7,0,0,0,35,115,19,2023
Federico Valverde,Uruguai,"Meio Campista, Atacante",24,54,48,4211,9,7,0,0,113,209,191,2023
Rodrygo,Brasil,Atacante,21,55,40,3725,18,10,3,3,184,102,350,2023
Antonio Rüdiger,Alemanha,Defensor,29,51,37,3676,2,0,0,0,24,74,10,2023
Toni Kroos,Alemanha,Meio Campista,32,50,43,3644,2,6,0,0,59,407,46,2023
Karim Benzema,França,Atacante,34,42,41,3560,30,5,9,10,84,169,201,2023
Eduardo Camavinga,França,"Meio Campista, Defensor",19,57,37,3406,0,2,0,0,87,189,114,2023
Dani Carvajal,Espanha,Defensor,30,44,35,3131,0,4,0,0,34,93,182,2023
Luka Modrić,Cróacia,Meio Campista,36,50,33,2990,6,6,2,2,65,234,113,2023
David Alaba,Áustria,Defensor,30,37,33,2819,2,3,0,0,24,86,86,2023
Aurélien Tchouaméni,França,Meio Campista,22,48,31,2691,0,4,0,0,51,179,27,2023
Nacho,Espanha,Defensor,32,42,27,2578,1,1,0,0,24,89,39,2023
Ferland Mendy,França,Defensor,27,28,25,2058,0,1,0,0,30,78,84,2023
Marco Asensio,Espanha,"Atacante, Meio Campista",26,50,18,2004,12,8,0,1,68,89,123,2023
Dani Ceballos,Espanha,Meio Campista,25,44,20,1905,1,7,0,0,62,211,63,2023
Lucas Vázquez,Espanha,Defensor,31,30,16,1503,4,2,0,0,39,59,164,2023
Andriy Lunin,Ucrânia,Goleiro,23,10,10,900,0,0,0,0,0,0,0,2023
Eden Hazard,Bélgica,"Atacante, Meio Campista",31,10,4,395,1,2,0,1,11,12,34,2023
Mariano,República Dominicana,Atacante,28,10,1,163,0,0,0,0,3,3,13,2023
Álvaro Rodríguez,Uruguai,Atacante,18,8,0,109,1,1,0,0,0,1,3,2023
Casemiro,Brasil,Meio Campista,30,2,1,98,0,1,0,0,0,0,0,2023
Álvaro Odriozola,Espanha,Defensor,26,5,1,95,0,0,0,0,4,2,5,2023
Jesús Vallejo,Espanha,Defensor,25,3,0,80,0,0,0,0,0,1,0,2023
Sergio Arribas,Espanha,Meio Campista,20,3,0,29,0,0,0,0,0,2,0,2023
Mario Martín,Espanha,Meio Campista,18,1,0,6,0,0,0,0,,,,2023
Nicolás Paz,Argentina,Meio Campista,17,0,0,,,,,,,,,2023
Vinicius Tobias,Brasil,Defensor,18,0,0,,,,,,,,,2023
Thibaut Courtois,Bélgica,Goleiro,29,36,36,3240,0,0,0,0,0,1,0,2022
Éder Militão,Brasil,Defensor,23,34,34,3031,1,2,0,0,22,102,15,2022
Karim Benzema,França,Atacante,33,32,31,2593,27,12,7,11,88,177,252,2022
