Jogadores,Imagem Principal,Imagens Filtros,Nacionalidade
Federico Valverde,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Federico%20Valverde.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Valverde.png?raw=true,Uruguai
Kylian Mbappé,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Kyllian%20Mbapp%C3%A9.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Mbapp%C3%A9.png?raw=true,França
Jude Bellingham,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Jude%20Bellingham.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Bellingham.png?raw=true,Inglaterra
Aurélien Tchouaméni,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Aur%C3%A9lien%20Tchouam%C3%A9ni.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Tchouam%C3%A9ni.png?raw=true,França
Thibaut Courtois,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Thibaut%20Courtois.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Courtois.png?raw=true,Bélgica
Antonio Rüdiger,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Antonio%20R%C3%BCdiger.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Rudiger.png?raw=true,Alemanha
Vinicius Júnior,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Vinicius%20J%C3%BAnior.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Vini%20Jr.png?raw=true,Brasil
Rodrygo,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Rodrygo.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Rodrygo.png?raw=true,Brasil
Lucas Vázquez,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Lucas%20V%C3%A1zquez.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Lucas%20V%C3%A1squez.png?raw=true,Espanha
Raúl Asencio,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Raul%20Asencio.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Ra%C3%BAl%20Asencio.png?raw=true,Espanha
Fran Garcia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Fran%20Garcia.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Fran%20Garcia.png?raw=true,Espanha
Luka Modrić,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Luka%20Modri%C4%87.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Modric.png?raw=true,Cróacia
Ferland Mendy,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Ferland%20Mendy.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Mendy.png?raw=true,França
Brahim Díaz,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Brahim%20D%C3%ADaz.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Brahim.png?raw=true,Marrocos
Eduardo Camavinga,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Eduardo%20Camavinga.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Camavinga.png?raw=true,França
Dani Ceballos,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagem%20Inteiras/Dani%20Ceballos.png?raw=true,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Jogadores/Imagens%20Filtros/Ceballos.png?raw=true,Espanha
