Data,Horário,Competição,Partida,Dia,Local,Resultado,Gols Feitos,Gols Sofridos,Oponente,Gols Esperados Real Madrid,Gols Esperados Adversários,Posse de Bola Real Madrid,Público,Capitão,Formação,Formação Alternativa,Árbitro,Temporada,Observações
2024-08-14,21:00 (16:00),Super Copa da Uefa,Final da Super Copa da UEFA,Quarta-Feira,Casa,Vitória,2,0,Atalanta,,,52%,56042,Dani Carvajal,4-1-4-1,3-4-1-2,Sandro Schärer,2025,
2024-08-18,21:30 (16:30),La Liga,Rodada 1,Domingo,Fora,Empate,1,1,Mallorca,0.6,1.0,66%,23010,Dani Carvajal,4-3-3,4-3-3,César Soto,2025,
2024-08-25,17:00 (12:00),La Liga,Rodada 2,Domingo,Casa,Vitória,3,0,Valladolid,2.1,0.4,63%,70178,Dani Carvajal,4-2-3-1,4-1-4-1,Víctor García,2025,
2024-08-29,20:30 (16:30),La Liga,Rodada 3,Quinta-Feira,Fora,Empate,1,1,Las Palmas,2.5,0.8,57%,31192,Luka Modrić,4-2-3-1,4-1-4-1,Mateo Busquets,2025,
2024-09-01,21:30 (16:30),La Liga,Rodada 4,Domingo,Casa,Vitória,2,0,Real Betis,2.4,0.6,60%,73072,Dani Carvajal,4-3-3,4-2-3-1,Javier Alberola,2025,
2024-09-14,21:00 (16:00),La Liga,Rodada 5,Sábado,Fora,Vitória,2,0,Real Sociedad,2.3,1.1,52%,37370,Luka Modrić,4-2-3-1,4-5-1,Juan Martínez,2025,
2024-09-17,21:00 (16:00),Champions League,Fase de Liga,Terça-Feira,Casa,Vitória,3,1,Stuttgart,2.6,1.9,46%,71288,Dani Carvajal,4-3-3,4-2-3-1,Halil Umut Meler,2025,
2024-09-21,21:00 (16:00),La Liga,Rodada 6,Sábado,Casa,Vitória,4,1,Espanyol,4.4,0.3,73%,17284,Luka Modrić,4-3-3,5-3-2,José Luis Munuera,2025,
2024-09-24,21:00 (16:00),La Liga,Rodada 7,Terça-Feira,Casa,Vitória,3,2,Alavés,1.3,0.9,68%,67480,Lucas Vázquez,4-3-3,4-4-2,Alejandro Muñíz,2025,
2024-09-29,21:00 (16:00),La Liga,Rodada 8,Domingo,Fora,Empate,1,1,Atlético Madrid,0.8,1.3,49%,70112,Luka Modrić,4-4-2,4-4-2,Mateo Busquets,2025,
2024-10-02,21:00 (16:00),Champions League,Fase de Liga,Quarta-Feira,Fora,Derrota,0,1,Lille,2.0,1.1,58%,48205,Dani Carvajal,4-4-2,4-2-3-1,Maurizio Mariani,2025,
2024-10-05,21:00 (16:00),La Liga,Rodada 9,Sábado,Casa,Vitória,2,0,Villarreal,0.5,1.1,55%,73842,Luka Modrić,4-4-2,4-3-3,Guillermo Cuadra,2025,
2024-10-19,21:00 (16:00),La Liga,Rodada 10,Sábado,Fora,Vitória,2,1,Celta Vigo,0.7,1.8,53%,24445,Lucas Vázquez,3-4-3,3-4-3,Alejandro Hernández,2025,
2024-10-22,21:00 (16:00),Champions League,Fase de Liga,Terça-Feira,Casa,Vitória,5,2,Borussia Dortmund,3.5,1.6,52%,74642,Luka Modrić,4-3-3,4-2-3-1,István Kovács,2025,
2024-10-26,21:00 (16:00),La Liga,Rodada 11,Sábado,Casa,Derrota,0,4,Barcelona,1.5,2.6,43%,78192,Lucas Vázquez,4-4-2,4-2-3-1,Jose Maria Sánchez,2025,
2024-11-05,21:00 (17:00),Champions League,Fase de Liga,Terça-Feira,Casa,Derrota,1,3,Milan,2.6,2.5,57%,75561,Luka Modrić,4-4-2,4-2-3-1,Slavko Vinčič,2025,
2024-11-09,14:00 (10:00),La Liga,Rodada 13,Sábado,Casa,Vitória,4,0,Osasuna,3.1,0.1,68%,72462,Lucas Vázquez,4-3-3,4-3-3,Mario Melero,2025,
