Nacionalidade,Imagem
Itália,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/It%C3%A1lia.png?raw=true
Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Alemanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Alemanha.png?raw=true
França,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Fran%C3%A7a.png?raw=true
Inglaterra,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Inglaterra.png?raw=true
Áustria,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/%C3%81ustria.png?raw=true
Portugal,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Portugal.png?raw=true
Escócia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Esc%C3%B3cia.png?raw=true
Ucrânia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Ucr%C3%A2nia.png?raw=true
Moldávia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Mold%C3%A1via.png?raw=true
Bélgica,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/B%C3%A9lgica.png?raw=true
Turquia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Turquia.png?raw=true
Rússia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/R%C3%BAssia.png?raw=true
República Tcheca,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Rep%C3%BAblica%20Tcheca.png?raw=true
Holanda,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Holanda.png?raw=true
Uruguai,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Uruguai.png?raw=true
Brasil,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Brasil.png?raw=true
Cróacia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Cro%C3%A1cia.png?raw=true
Marrocos,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Marrocos.png?raw=true
Argentina,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Argentina.png?raw=true
República Dominicana,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Rep%C3%BAblica%20Dominicana.png?raw=true
Sérvia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/S%C3%A9rvia.png?raw=true
País de Gales,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Pa%C3%ADs%20de%20Gales.png?raw=true
Noruega,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Noruega.png?raw=true
Colômbia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Col%C3%B4mbia.png?raw=true
Costa Rica,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Costa%20Rica.png?raw=true
