Times,Imagem,Nacionalidade,Imagem bandeira país
Atalanta,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Atalanta.png?raw=true,Itália,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/It%C3%A1lia.png?raw=true
Mallorca,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Mallorca.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Valladolid,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Real%20Valladolid.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Las Palmas,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Las%20Palmas.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Real Betis,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Real%20Betis.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Real Sociedad,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Real%20Sociedad.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Stuttgart,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Stuttgart.png?raw=true,Alemanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Alemanha.png?raw=true
Espanyol,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Espanyol.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Alavés,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/deportivo-Alaves-logo-3%201.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Atlético Madrid,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Atl%C3%A9tico%20de%20Madrid.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Lille,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Lille.png?raw=true,França,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Fran%C3%A7a.png?raw=true
Villarreal,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Villarreal.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Celta Vigo,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Celta%20Vigo.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Borussia Dortmund,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Borussia%20Dortmund.png?raw=true,Alemanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Alemanha.png?raw=true
Barcelona,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Barcelona.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Milan,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Milan.png?raw=true,Itália,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/It%C3%A1lia.png?raw=true
Osasuna,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Osasuna.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Leganés,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Legan%C3%A9s.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Liverpool,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Liverpool.png?raw=true,Inglaterra,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Inglaterra.png?raw=true
Getafe,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Getafe.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Athletic Club,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Athletic%20Bilbao.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Girona,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Girona.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Rayo Vallecano,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Rayo%20Vallecano.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Sevilla,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Sevilla.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
Valencia,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Val%C3%AAncia.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
CD Minera,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Deportivo%20Minera.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
RB Salzburg,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/RB%20Salzburg.png?raw=true,Áustria,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/%C3%81ustria.png?raw=true
Brest,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Stade%20Brestois.png?raw=true,França,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Fran%C3%A7a.png?raw=true
Manchester City,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Manchester%20City.png?raw=true,Inglaterra,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Inglaterra.png?raw=true
Arsenal,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Arsenal.png?raw=true,Inglaterra,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Inglaterra.png?raw=true
Almería,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Clubes/Almeria.png?raw=true,Espanha,https://github.com/RafaelMoura98/Projeto-Dashboard-Madrid/blob/Desenvolvimento/Assets/Bandeiras/Espanha.png?raw=true
