Jogador,Nacionalidade,Posição,Idade,Passes c/ Bola Rolando,Passes c/ Bola Parada,Passes Em Faltas,Passes em Profundidade,Inversões de Jogo,Cruzamentos,Bolas de Lateral,Escanteios Cobrados,Passes Para Impedimentos,Passes Interceptados pelo Adversário,Temporada
Federico Valverde,Uruguai,"Meio Campista, Defensor",26,2933,119,45,4,68,46,67,3,13,33,2025
Kylian Mbappé,França,Atacante,25,1403,88,5,7,21,57,13,9,6,47,2025
Jude Bellingham,Inglaterra,Meio Campista,21,2084,69,30,26,27,31,15,1,10,37,2025
Aurélien Tchouaméni,França,"Meio Campista, Defensor",24,2449,113,76,4,16,17,8,0,3,11,2025
Thibaut Courtois,Bélgica,Goleiro,32,1204,245,47,0,2,0,0,0,1,0,2025
Antonio Rüdiger,Alemanha,Defensor,31,2538,102,68,4,25,5,10,0,6,9,2025
Vinicius Júnior,Brasil,Atacante,24,1230,53,13,19,22,112,19,17,14,66,2025
Rodrygo,Brasil,"Meio Campista, Atacante",23,1416,147,28,1,3,155,23,89,5,17,2025
Lucas Vázquez,Espanha,Defensor,33,1786,256,42,1,12,98,192,22,5,36,2025
Raúl Asencio,Espanha,Defensor,21,1298,90,43,2,10,1,13,0,1,9,2025
Fran Garcia,Espanha,Defensor,24,1485,223,31,1,5,91,192,0,3,42,2025
Luka Modrić,Cróacia,Meio Campista,38,2392,244,103,18,34,173,13,128,4,20,2025
Ferland Mendy,França,Defensor,29,1037,147,29,0,3,7,118,0,2,14,2025
Brahim Díaz,Marrocos,"Atacante, Meio Campista",24,882,28,11,9,1,19,12,0,7,20,2025
Eduardo Camavinga,França,Meio Campista,21,1027,49,23,5,9,4,26,0,5,12,2025
Dani Ceballos,Espanha,Meio Campista,27,1626,70,42,6,8,21,16,11,5,15,2025
Arda Güler,Turquia,"Meio Campista, Atacante",19,907,88,19,11,9,87,13,54,2,13,2025
Andriy Lunin,Ucrânia,Goleiro,25,177,57,9,0,2,0,0,0,2,1,2025
