Temporada,Títulos,URL Imagem
2025,Super Copa da Uefa,https://tmssl.akamaized.net//images/erfolge/medium/354.png?lm=1520606999
2024,Copa Intercontinental da FIFA,https://tmssl.akamaized.net//images/erfolge/medium/1100.png?lm=1734608335
2024,Supercopa de España,https://tmssl.akamaized.net//images/erfolge/medium/93.png?lm=1520606999
2024,La Liga,https://tmssl.akamaized.net//images/erfolge/medium/11.png?lm=1520606997
2024,Champions League,https://tmssl.akamaized.net//images/erfolge/medium/4.png?lm=1520606999
2023,Super Copa da Uefa,https://tmssl.akamaized.net//images/erfolge/medium/354.png?lm=1520606999
2023,Copa do Mundo de Clubes da FIFA,https://tmssl.akamaized.net//images/erfolge/medium/318.png?lm=1749717358
2023,Copa del Rey,https://tmssl.akamaized.net//images/erfolge/medium/94.png?lm=1520606999
2022,Supercopa de España,https://tmssl.akamaized.net//images/erfolge/medium/93.png?lm=1520606999
2022,La Liga,https://tmssl.akamaized.net//images/erfolge/medium/11.png?lm=1520606997
2022,Champions League,https://tmssl.akamaized.net//images/erfolge/medium/4.png?lm=1520606999
2020,Supercopa de España,https://tmssl.akamaized.net//images/erfolge/medium/93.png?lm=1520606999
2020,La Liga,https://tmssl.akamaized.net//images/erfolge/medium/11.png?lm=1520606997
2019,Copa do Mundo de Clubes da FIFA,https://tmssl.akamaized.net//images/erfolge/medium/318.png?lm=1749717358
